purchase_order_id	title	amount
IF00368075	QHV 30-705-049	6.00000000
I100003320	EGV 7.07152.06.0	3.00000000
I100003841	SED 442-2004G-JT	3.00000000
I100003841	SED 442-1402C-JT	8.00000000
I100003841	SED 442-1112A-ASTBC	5.00000000
I100003841	SED 442-2009A-JT	2.00000000
I100003876	SED 442-2006G-JT	4.00000000
IF00326021	QHV 30-210-019	2.00000000
IF00326021	QHV 30-810-022	5.00000000
IF00326021	QHV 30-910-003	4.00000000
IF00326021	QHV 30-460-003	2.00000000
